model,seed,best_epoch,train_mae,val_mae,test_mae,test_rmse,test_r2,elapsed_sec,n_params
graphcn,0,142,0.7809244394302368,1.0814285278320312,1.2509006261825562,1.9309736899821288,0.3734642267227173,295.9483380317688,13121
graphcn,1,175,0.7378242611885071,1.0279871225357056,1.2206073999404907,1.863709150719922,0.41635411977767944,343.0203220844269,13121
graphcn,2,135,0.7344273924827576,1.0417884588241577,1.217261552810669,1.9096094764797154,0.38725143671035767,337.1621015071869,13121
graphcn,3,132,0.7954586148262024,1.0708341598510742,1.2488118410110474,1.8256456565537182,0.4399508833885193,290.76340079307556,13121
graphnet,0,128,0.8880389332771301,1.2243355512619019,1.4411786794662476,1.8818341637738139,0.4049467444419861,314.50646781921387,13505
graphnet,1,137,0.8091149926185608,1.1104156970977783,1.343497633934021,1.7856926644242463,0.464195191860199,353.63642024993896,13505
graphnet,2,115,0.9380875825881958,1.252631425857544,1.4740571975708008,1.902184513015119,0.39200717210769653,315.7330355644226,13505
graphnet,3,12,1.2769800424575806,1.3654273748397827,1.6279276609420776,2.0397661536954366,0.3008764982223511,186.9039785861969,13505
graphsage,0,129,0.6061471700668335,0.9745428562164307,1.2179715633392334,2.0685705377927577,0.280991792678833,285.6399760246277,22017
graphsage,1,84,0.6944271922111511,1.0258216857910156,1.2298963069915771,1.832504764358135,0.4357346296310425,234.34628009796143,22017
graphsage,2,101,0.6704431772232056,1.031131625175476,1.242332935333252,1.9069546507157622,0.3889539837837219,267.3818459510803,22017
graphsage,3,106,0.6784435510635376,1.0269684791564941,1.2346385717391968,1.7683069570637402,0.47457772493362427,279.84938883781433,22017
graphmp,0,82,0.5821483731269836,0.9723372459411621,1.26272714138031,2.880524841540502,-0.3942364454269409,528.5555098056793,66817
graphmp,1,113,0.5358442068099976,0.9741722345352173,1.2047933340072632,2.280864212650344,0.1258378028869629,772.3299732208252,66817
graphmp,2,136,0.5406519174575806,0.9554514288902283,1.209395408630371,2.5064889617926465,-0.055661678314208984,477.586407661438,66817
graphmp,3,156,0.5033908486366272,0.990161120891571,1.2364060878753662,2.7662919958954397,-0.2858467102050781,461.5634069442749,66817
